close,high,low,open,symbol,volume,date
129.41,133.6116,126.76,133.52,AAPL,143301887,2021-01-04
131.01,131.74,128.43,128.89,AAPL,97664898,2021-01-05
126.6,131.0499,126.382,127.72,AAPL,155087970,2021-01-06
130.92,131.63,127.86,128.36,AAPL,109578157,2021-01-07
132.05,132.63,130.23,132.43,AAPL,105158245,2021-01-08
128.98,130.17,128.5,129.19,AAPL,100620880,2021-01-11
128.8,129.69,126.86,128.5,AAPL,91951145,2021-01-12
130.89,131.45,128.49,128.76,AAPL,88636831,2021-01-13
128.91,131,128.76,130.8,AAPL,90221755,2021-01-14
127.14,130.2242,127,128.78,AAPL,111598531,2021-01-15
127.83,128.71,126.938,127.78,AAPL,90757329,2021-01-19
132.03,132.49,128.55,128.66,AAPL,104319489,2021-01-20
136.87,139.67,133.59,133.8,AAPL,120529544,2021-01-21
139.07,139.85,135.02,136.28,AAPL,114459360,2021-01-22
142.92,145.09,136.54,143.07,AAPL,157611713,2021-01-25
143.16,144.3,141.37,143.6,AAPL,98390555,2021-01-26
142.06,144.3,140.41,143.43,AAPL,140843759,2021-01-27
137.09,141.99,136.7,139.52,AAPL,142621128,2021-01-28
131.96,136.74,130.21,135.83,AAPL,177523812,2021-01-29
134.14,135.38,130.93,133.75,AAPL,106239823,2021-02-01
134.99,136.31,134.61,135.73,AAPL,83305367,2021-02-02
133.94,135.77,133.61,135.76,AAPL,89880937,2021-02-03
137.39,137.4,134.59,136.3,AAPL,84183061,2021-02-04
136.76,137.42,135.86,137.35,AAPL,75693830,2021-02-05
136.91,136.96,134.92,136.03,AAPL,71297214,2021-02-08
136.01,137.877,135.85,136.62,AAPL,76774213,2021-02-09
135.39,136.99,134.4,136.48,AAPL,73046563,2021-02-10
135.13,136.39,133.77,135.9,AAPL,64280029,2021-02-11
135.37,135.53,133.6921,134.35,AAPL,60145130,2021-02-12
133.19,136.01,132.79,135.49,AAPL,80576316,2021-02-16
130.84,132.22,129.47,131.25,AAPL,98085249,2021-02-17
129.71,129.995,127.41,129.2,AAPL,96856748,2021-02-18
129.87,130.71,128.8,130.24,AAPL,87668834,2021-02-19
126,129.72,125.6,128.01,AAPL,103916419,2021-02-22
125.86,126.71,118.39,123.76,AAPL,158273022,2021-02-23
125.35,125.56,122.23,124.94,AAPL,111039904,2021-02-24
120.99,126.4585,120.54,124.68,AAPL,148199540,2021-02-25
121.26,124.85,121.2,122.59,AAPL,164560394,2021-02-26
