low,high,open,close,volume,date
126.86,129.69,128.5,128.8,91951145,2021-01-12
128.49,131.45,128.76,130.89,88636831,2021-01-13
128.76,131.0,130.8,128.91,90221755,2021-01-14
127.0,130.2242,128.78,127.14,111598531,2021-01-15
126.938,128.71,127.78,127.83,90757329,2021-01-19
128.55,132.49,128.66,132.03,104319489,2021-01-20
133.59,139.67,133.8,136.87,120529544,2021-01-21
135.02,139.85,136.28,139.07,114459360,2021-01-22
136.54,145.09,143.07,142.92,157611713,2021-01-25
141.37,144.3,143.6,143.16,98390555,2021-01-26
140.41,144.3,143.43,142.06,140843759,2021-01-27
136.7,141.99,139.52,137.09,142621128,2021-01-28
130.21,136.74,135.83,131.96,177523812,2021-01-29
130.93,135.38,133.75,134.14,106239823,2021-02-01
134.61,136.31,135.73,134.99,83305367,2021-02-02
133.61,135.77,135.76,133.94,89880937,2021-02-03
134.59,137.4,136.3,137.39,84183061,2021-02-04
